date,fname,male,female
2010-01-24 12:21:58,gregoire,True,False
2010-02-17 18:48:54,pierre-benoit,True,False
2010-03-18 20:16:38,manuel,True,False
2010-03-26 19:42:39,sarra,False,True
2010-04-06 17:08:52,maelys,False,True
2010-04-26 12:33:25,theophile,True,False
2010-04-26 12:43:43,marie,False,True
2010-04-26 17:17:36,claire,False,True
2010-04-26 17:25:03,aude,False,True
2010-04-26 20:04:55,vianney,True,False
2010-04-26 22:42:46,cyrille,True,False
2010-04-27 16:52:33,etienne,True,False
2010-04-27 16:53:24,clarisse,False,True
2010-04-27 17:38:54,coco,True,False
2010-04-28 10:37:00,anne-sophie,False,True
2010-04-29 18:36:12,auguste,True,False
2010-04-29 18:42:28,mathilde,False,True
2010-04-30 07:37:02,gladys,False,True
2010-05-01 13:17:06,pierre,True,False
2010-05-05 11:51:54,anne,False,True
2010-05-05 11:51:58,laura,False,True
2010-05-08 10:06:47,henri,True,False
2010-05-10 20:36:32,maxime,True,False
2010-05-18 16:22:27,antoine,True,False
2010-05-24 14:23:35,antoine,True,False
2010-05-24 21:39:26,filippo,True,False
2010-05-30 12:56:28,edwige,False,True
2010-06-03 16:40:25,clemence,True,False
2010-06-21 13:21:45,jean,True,False
2010-06-24 11:59:21,guilhem,True,False
2010-06-28 13:04:59,marine,False,True
2010-07-03 17:18:57,matthieu,True,False
2010-07-03 18:02:42,pierre,True,False
2010-07-04 07:10:32,simon,True,False
2010-07-10 09:02:26,florent,True,False
2010-07-14 13:20:38,rodolphe,True,False
2010-08-11 18:07:43,capucine,False,True
2010-08-13 17:53:27,clemence,True,False
2010-08-31 10:07:50,sarra,False,True
2010-09-10 16:24:12,marc,True,False
2010-09-21 16:44:04,arthur,True,False
2010-09-25 15:48:25,julien,True,False
2010-10-01 18:09:27,xavier,True,False
2010-10-01 20:18:12,ariane,False,True
2010-10-05 17:00:36,antoine,True,False
2010-10-06 18:29:39,hermine,False,True
2010-10-30 12:30:06,nicolas,True,False
2010-10-31 15:23:03,paul,True,False
2011-01-07 15:26:57,martin,True,False
2011-01-13 21:07:00,matthieu,True,False
2011-03-20 13:28:35,adelaide,False,True
2011-03-23 16:04:03,paul,True,False
2011-03-25 07:34:41,xavier,True,False
2011-04-03 08:47:41,come,True,False
2011-04-16 18:51:20,laetitia,False,True
2011-04-21 21:51:54,constance,False,True
2011-04-24 17:36:20,lucie,False,True
2011-05-20 18:24:34,sophie,False,True
2011-05-22 14:28:01,hermine,False,True
2011-05-22 19:31:20,louis,True,False
